university_name,city,state,program_name,duration,minimum_gpa,gre_policy,eligible_backgrounds,courses,topics,intake,application_deadline,stem_designated,estimated_tuition
Greenfield Tech University,Boston,Massachusetts,MS Artificial Intelligence,24,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,False,32000
Riverstone University,Chicago,Illinois,MS Software Engineering,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall | Spring,15 Dec,True,32000
Pacific Crest University,Seattle,Washington,MS Computer Science,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Spring,15 Dec,True,28000
Eastern Heights University,Raleigh,North Carolina,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Spring,1 Feb,False,35000
Summit State University,Denver,Colorado,MS Robotics,24,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,1 Feb,False,32000
Westbridge University,Phoenix,Arizona,MS Artificial Intelligence,24,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,True,32000
Lakeside University,Austin,Texas,MS Software Engineering,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall | Spring,15 Jan,True,41000
North Valley University,San Jose,California,MS Computer Science,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Spring,1 Feb,True,35000
Greenfield Tech University,Boston,Massachusetts,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall,15 Jan,True,35000
Riverstone University,Chicago,Illinois,MS Robotics,24,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Spring,1 Feb,True,32000
Pacific Crest University,Seattle,Washington,MS Data Science,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall | Spring,1 Feb,True,41000
Eastern Heights University,Raleigh,North Carolina,MS Cybersecurity,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Spring,Rolling,True,35000
Summit State University,Denver,Colorado,MS Business Analytics,18,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,15 Jan,False,41000
Westbridge University,Phoenix,Arizona,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall | Spring,Rolling,False,32000
Lakeside University,Austin,Texas,MS Robotics,24,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,Rolling,True,28000
North Valley University,San Jose,California,MS Data Science,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,15 Jan,True,41000
Greenfield Tech University,Boston,Massachusetts,MS Cybersecurity,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,False,41000
Riverstone University,Chicago,Illinois,MS Business Analytics,18,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall | Spring,Rolling,False,28000
Pacific Crest University,Seattle,Washington,MS Artificial Intelligence,24,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,15 Dec,False,35000
Eastern Heights University,Raleigh,North Carolina,MS Software Engineering,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,1 Feb,False,32000
Summit State University,Denver,Colorado,MS Computer Science,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Spring,15 Dec,False,32000
Westbridge University,Phoenix,Arizona,MS Cybersecurity,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,False,32000
Lakeside University,Austin,Texas,MS Business Analytics,18,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,1 Feb,True,28000
North Valley University,San Jose,California,MS Artificial Intelligence,24,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,False,28000
Greenfield Tech University,Boston,Massachusetts,MS Software Engineering,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,1 Feb,False,32000
Riverstone University,Chicago,Illinois,MS Computer Science,24,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Fall,15 Jan,True,28000
Pacific Crest University,Seattle,Washington,MS Information Systems,18,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall | Spring,Rolling,True,32000
Eastern Heights University,Raleigh,North Carolina,MS Robotics,24,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,Rolling,True,35000
Summit State University,Denver,Colorado,MS Data Science,18,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall | Spring,Rolling,True,32000
