university_name,city,state,program_name,duration,minimum_gpa,gre_policy,eligible_backgrounds,courses,topics,intake,application_deadline,stem_designated,estimated_tuition
Lakeside University,Austin,Texas,MS Software Engineering,18 months,3.0,No GRE,Computer Science | Information Technology | Electronics,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall | Spring,15 Jan,Yes,41000
North Valley University,San Jose,California,Masters in Computer Science,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,AI | ML | Algorithms,Spring,1 Feb,Yes,$35k
Greenfield Tech University,Boston,Massachusetts,MS Information Systems,18 months,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall,15 Jan,Yes,$35k
Riverstone University,Chicago,Illinois,MS Robotics,24 months,3.1,GRE Required,CS | ECE | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Spring,1 Feb,Yes,32000 USD
Pacific Crest University,Seattle,WA,MS Data Science,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall | Spring,1 Feb,Yes,41000
Eastern Heights Univ.,Raleigh,North Carolina,M.S. Cybersecurity,2 years,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Spring,Rolling,Yes,$35k
Summit State University,Denver,Colorado,MS Business Analytics,18 months,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,15 Jan,No,41000
westbridge university ,Phoenix ,Arizona,MS Information Systems,18 months,2.8,GRE Not Required,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall | Spring,Rolling,No,32000 USD
Lakeside University,Austin,Texas,MS Robotics,24 months,3.1,GRE Required,CS | ECE | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,Rolling,Yes,"$28,000"
North Valley University,San Jose,California,MS Data Science,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall,15 Jan,Yes,41000
Greenfield Tech University,Boston,MA,MS Cybersecurity,24 months,3.0,Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,No,41000
Riverstone University,Chicago,Illinois,MS Business Analytics,18 months,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall | Spring,Rolling,No,"$28,000"
Pacific Crest Univ.,Seattle,Washington,MS Artificial Intelligence,24 months,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,15 Dec,No,$35k
Eastern Heights University,Raleigh,North Carolina,MS Software Engineering,18,3.0,GRE Not Required,CS | IT | ECE,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,1 Feb,No,32000 USD
Summit State University,Denver,Colorado,M.S. Computer Science,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,Artificial Intelligence | Machine Learning | Algorithms,Spring,15 Dec,No,32000 USD
Westbridge University,Phoenix,Arizona,MS Cybersecurity,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CY501 - Network Security | CY502 - Ethical Hacking | CY503 - Cloud Security,Cybersecurity | Cloud Computing | Networks,Fall | Spring,15 Dec,No,32000 USD
Lakeside University,Austin,TX,MS Business Analytics,18 months,2.9,GRE Optional,Computer Science | Information Technology | Mathematics | Statistics | Business,BA501 - Business Intelligence | BA502 - Predictive Analytics | BA503 - Data Visualization,Analytics | Machine Learning | Data Visualization,Fall,1 Feb,Yes,"$28,000"
North Valley University,San Jose,California,MS Artificial Intelligence,24 months,3.2,GRE Required,Computer Science | Information Technology,AI501 - Deep Learning | AI502 - Natural Language Processing | AI503 - Computer Vision,Artificial Intelligence | Machine Learning | Natural Language Processing,Fall | Spring,1 Feb,No,"$28,000"
greenfield tech university ,Boston,Massachusetts,MS Software Engineering,18 months,3.0,GRE Not Required,CS | IT | ECE,SE501 - Software Architecture | SE502 - DevOps | SE503 - Software Testing,Software Engineering | Cloud Computing | DevOps,Fall,1 Feb,No,32000 USD
Riverstone Univ.,Chicago ,Illinois,MS Computer Science,24 months,3.0,GRE Optional,Computer Science | Information Technology | Electronics,CS501 - Machine Learning | CS502 - Advanced Algorithms | CS503 - Distributed Systems,AI | ML | Algorithms,Fall,15 Jan,Yes,"$28,000"
Pacific Crest University,Seattle,Washington,MS Information Systems,18 months,2.8,No GRE,Computer Science | Information Technology | Electronics | Mechanical Engineering,IS501 - Database Systems | IS502 - Cloud Computing | IS503 - Enterprise Systems,Databases | Cloud Computing | Data Engineering,Fall | Spring,Rolling,Yes,32000 USD
Eastern Heights University,Raleigh,North Carolina,MS Robotics,2 years,3.1,GRE Required,Computer Science | Electronics | Mechanical Engineering,RB501 - Robotics Systems | RB502 - Computer Vision | RB503 - Autonomous Systems,Robotics | Artificial Intelligence | Computer Vision,Fall,Rolling,Yes,$35k
Summit State University,Denver,CO,MS Data Science,18 months,3.0,GRE Not Required,Computer Science | Information Technology | Electronics | Mathematics | Statistics,DS501 - Data Mining | DS502 - Applied Machine Learning | DS503 - Data Visualization,Machine Learning | Data Engineering | Artificial Intelligence,Fall | Spring,Rolling,Yes,32000 USD
